N,P,K,temperature,humidity,ph,rainfall,label
19.13,61.57,18.71,26.52,51.18,7.56,119.17,pigeonpeas
32.88,74.52,15.49,24.97,58.11,7.31,110.86,pigeonpeas
28.27,62.39,21.86,25.00,52.03,7.48,122.47,pigeonpeas
24.50,74.97,17.50,24.47,59.32,7.26,110.62,pigeonpeas
19.94,70.24,21.55,24.11,56.25,7.70,116.91,pigeonpeas
20.74,66.05,21.26,25.05,55.73,8.00,111.30,pigeonpeas
22.80,64.38,22.32,26.38,59.47,7.47,128.39,pigeonpeas
17.80,62.09,18.92,24.34,56.70,7.92,112.40,pigeonpeas
26.17,72.02,16.95,24.54,54.49,7.21,111.75,pigeonpeas
27.25,69.27,20.08,25.75,55.36,7.11,117.53,pigeonpeas
24.77,70.95,15.60,26.55,58.48,7.97,118.52,pigeonpeas
33.21,70.04,24.75,24.65,51.18,7.26,126.30,pigeonpeas
17.78,74.38,22.07,24.62,54.99,7.40,113.54,pigeonpeas
20.81,60.47,20.26,25.73,54.89,7.75,124.02,pigeonpeas
31.13,60.58,23.74,26.83,54.71,7.58,123.46,pigeonpeas
18.98,65.18,16.58,24.72,55.76,7.49,128.63,pigeonpeas
16.87,64.56,15.93,26.83,51.93,7.46,110.54,pigeonpeas
31.33,64.18,24.51,25.34,52.34,7.34,121.42,pigeonpeas
33.29,61.53,16.23,26.82,51.12,7.98,127.65,pigeonpeas
34.52,71.94,17.55,26.75,56.27,7.72,115.60,pigeonpeas
20.01,60.89,19.31,26.32,59.28,7.15,122.08,pigeonpeas
24.67,68.87,22.24,24.52,55.36,7.64,113.55,pigeonpeas
30.79,61.25,19.62,26.70,50.58,7.41,117.98,pigeonpeas
33.49,60.97,17.18,26.60,50.90,7.23,113.85,pigeonpeas
24.05,74.42,24.89,26.26,58.60,7.66,127.46,pigeonpeas
28.49,61.21,24.20,26.80,55.62,7.56,111.38,pigeonpeas
29.01,71.79,21.18,26.93,55.79,7.13,124.01,pigeonpeas
26.24,68.72,18.56,25.37,58.58,7.98,121.56,pigeonpeas
34.60,62.81,24.93,25.84,52.38,7.01,125.77,pigeonpeas
20.70,68.26,19.59,26.82,55.54,7.53,129.34,pigeonpeas
27.25,64.13,18.53,26.90,59.68,7.59,121.22,pigeonpeas
26.41,64.30,23.95,25.79,58.97,7.68,125.82,pigeonpeas
24.43,71.97,22.30,25.52,52.03,7.67,128.91,pigeonpeas
15.68,61.58,24.30,26.58,58.08,7.23,124.41,pigeonpeas
23.95,62.03,17.98,24.60,51.86,7.94,125.04,pigeonpeas
19.53,60.76,17.95,25.49,50.83,7.54,110.68,pigeonpeas
15.67,67.93,22.89,25.97,55.08,7.81,110.57,pigeonpeas
24.01,65.46,22.36,25.74,54.50,7.28,121.78,pigeonpeas
29.89,67.75,19.53,26.28,52.28,7.48,120.83,pigeonpeas
29.11,69.41,22.18,26.17,59.24,7.17,128.62,pigeonpeas
20.66,64.47,19.67,26.83,51.61,7.93,118.41,pigeonpeas
30.27,62.89,21.33,26.75,53.21,7.70,111.73,pigeonpeas
27.06,70.64,17.50,26.77,58.93,7.61,127.28,pigeonpeas
27.94,69.84,18.79,24.71,54.94,7.66,128.96,pigeonpeas
21.15,68.47,19.81,25.00,59.21,7.81,116.30,pigeonpeas
19.37,70.99,22.91,26.55,57.13,7.55,128.18,pigeonpeas
29.70,68.44,16.74,26.17,54.00,7.18,129.30,pigeonpeas
28.70,71.31,21.00,25.86,55.39,7.59,110.48,pigeonpeas
32.28,70.36,16.21,24.58,54.91,7.44,117.77,pigeonpeas
17.39,65.47,21.87,24.12,51.31,7.89,110.14,pigeonpeas
26.74,61.44,16.12,25.33,59.82,7.97,126.15,pigeonpeas
16.07,73.96,18.42,26.39,57.76,7.65,113.39,pigeonpeas
32.95,64.56,15.82,24.55,58.91,7.27,126.83,pigeonpeas
26.53,66.63,19.10,25.97,54.28,7.41,126.89,pigeonpeas
26.51,60.32,16.77,25.08,59.97,7.38,127.30,pigeonpeas
20.83,61.46,23.63,25.37,59.54,7.52,113.58,pigeonpeas
18.02,70.78,15.31,24.20,55.66,7.78,110.95,pigeonpeas
18.49,68.28,24.61,25.43,53.91,7.58,125.57,pigeonpeas
16.84,72.10,23.45,26.70,53.71,7.69,123.11,pigeonpeas
18.10,66.77,21.29,26.72,52.61,7.27,121.50,pigeonpeas
21.44,67.61,17.63,24.00,57.98,7.05,115.58,pigeonpeas
21.26,62.76,23.56,24.18,51.38,7.82,121.61,pigeonpeas
23.61,68.65,16.89,24.74,59.99,7.05,113.32,pigeonpeas
20.18,69.81,17.71,24.72,56.85,7.24,110.20,pigeonpeas
17.40,69.26,16.58,26.64,51.28,7.72,124.23,pigeonpeas
19.93,69.69,17.41,26.19,56.65,7.45,115.72,pigeonpeas
19.75,63.91,18.45,24.32,58.01,7.35,121.60,pigeonpeas
29.22,70.23,22.07,26.04,50.79,7.26,115.58,pigeonpeas
25.89,67.24,18.31,25.53,56.42,7.01,128.71,pigeonpeas
34.91,74.67,19.37,25.43,52.65,7.50,115.01,pigeonpeas
31.48,63.00,22.26,26.69,59.95,7.42,129.62,pigeonpeas
22.45,64.35,15.60,25.25,52.48,7.45,111.87,pigeonpeas
22.36,62.36,20.65,24.82,56.01,7.38,128.93,pigeonpeas
31.75,73.91,22.63,25.88,52.07,7.96,115.19,pigeonpeas
23.39,46.02,18.68,28.27,58.91,6.99,54.56,mothbeans
20.97,43.52,21.92,28.51,55.26,6.56,56.11,mothbeans
15.61,39.72,20.75,28.67,50.57,6.56,51.50,mothbeans
15.87,43.54,16.72,29.27,50.67,7.38,50.03,mothbeans
15.03,37.86,19.56,29.16,56.14,6.52,52.59,mothbeans
17.70,48.51,19.46,29.15,54.55,7.17,57.20,mothbeans
19.00,44.82,23.43,29.78,52.71,7.03,55.66,mothbeans
19.64,43.89,21.24,28.31,50.08,7.29,51.64,mothbeans
24.21,41.28,17.09,28.72,54.90,6.65,52.61,mothbeans
19.31,37.52,18.93,29.26,53.00,7.21,55.20,mothbeans
22.99,40.66,19.43,28.26,57.05,7.14,51.62,mothbeans
15.03,44.81,21.10,28.34,56.84,7.28,56.21,mothbeans
16.03,39.45,24.61,28.40,50.93,6.81,59.58,mothbeans
21.63,37.48,20.57,28.57,58.28,7.00,51.85,mothbeans
17.51,47.12,16.44,28.31,55.78,6.85,51.88,mothbeans
18.22,49.67,19.54,29.93,50.57,7.34,54.52,mothbeans
20.58,46.85,18.29,29.68,52.60,6.63,52.71,mothbeans
22.70,35.86,15.23,28.20,57.53,7.26,56.09,mothbeans
23.43,47.87,19.33,28.40,50.31,7.37,57.11,mothbeans
24.91,36.20,22.22,28.61,56.02,7.16,58.81,mothbeans
19.84,38.16,15.95,28.84,53.06,7.45,52.73,mothbeans
22.57,42.59,21.98,29.42,58.30,6.60,56.56,mothbeans
21.45,39.12,18.20,28.80,56.48,7.45,52.76,mothbeans
15.07,47.02,23.18,28.20,56.87,6.98,58.49,mothbeans
22.24,43.07,16.82,28.64,50.81,6.86,52.06,mothbeans
19.43,45.62,17.68,28.21,56.23,7.29,58.22,mothbeans
17.23,43.61,16.28,29.49,52.13,7.21,56.03,mothbeans
24.77,41.84,18.25,29.76,54.47,7.29,54.23,mothbeans
24.50,36.44,15.55,29.35,51.19,6.63,57.94,mothbeans
19.39,42.60,18.57,29.52,55.96,6.66,59.53,mothbeans
22.70,37.82,16.45,29.07,57.07,6.89,58.46,mothbeans
23.79,38.44,18.74,29.29,51.44,7.36,58.47,mothbeans
23.46,48.77,22.62,29.22,52.15,7.33,54.35,mothbeans
24.16,40.40,23.68,29.48,56.40,6.75,53.50,mothbeans
19.77,38.62,19.14,29.60,55.95,7.19,52.35,mothbeans
24.73,38.04,15.78,29.68,54.62,7.23,58.59,mothbeans
18.36,40.49,22.71,28.97,59.46,7.06,56.54,mothbeans
20.28,47.84,19.50,29.05,52.01,6.65,50.31,mothbeans
24.75,42.42,24.82,28.33,51.22,6.91,59.14,mothbeans
15.36,48.33,21.58,28.64,50.45,6.94,59.97,mothbeans
24.05,44.57,24.39,29.43,59.57,7.32,58.11,mothbeans
21.02,44.20,19.52,29.38,52.41,7.19,57.76,mothbeans
23.08,43.44,24.80,29.77,56.01,6.89,59.42,mothbeans
22.55,48.42,15.23,28.53,56.94,7.14,56.73,mothbeans
18.42,37.52,23.17,28.94,58.05,6.85,59.93,mothbeans
17.04,36.27,18.37,29.57,53.95,7.14,52.53,mothbeans
18.67,46.73,21.55,29.80,58.68,7.23,59.62,mothbeans
15.14,44.48,19.57,28.39,59.96,7.02,55.76,mothbeans
18.77,41.76,22.55,28.46,52.12,6.98,57.63,mothbeans
19.67,38.64,16.98,28.58,56.97,7.02,57.93,mothbeans
19.47,49.16,19.47,28.99,57.21,7.48,59.63,mothbeans
20.07,36.60,15.53,28.19,59.24,7.37,57.21,mothbeans
24.54,48.62,16.76,29.46,51.50,7.02,59.01,mothbeans
21.88,39.41,16.91,28.92,58.98,7.31,52.93,mothbeans
23.43,43.07,19.21,28.13,57.57,7.01,58.10,mothbeans
19.92,35.22,16.59,29.63,57.97,6.70,57.72,mothbeans
16.62,37.00,18.79,29.40,58.32,6.57,57.99,mothbeans
19.55,37.50,23.70,28.66,59.36,6.58,53.50,mothbeans
18.37,47.91,21.38,28.25,54.17,6.57,57.36,mothbeans
21.98,40.56,23.14,28.46,50.25,7.34,58.87,mothbeans
17.91,44.13,17.34,28.75,58.70,6.85,55.56,mothbeans
17.23,49.99,18.95,29.34,58.83,7.28,53.28,mothbeans
16.69,41.04,17.25,28.68,56.68,6.94,51.22,mothbeans
16.04,49.60,22.93,28.23,57.93,7.25,55.85,mothbeans
24.53,46.61,22.23,28.40,58.44,7.22,54.02,mothbeans
20.19,35.99,16.67,29.94,57.30,7.20,56.76,mothbeans
18.50,46.72,19.92,29.67,54.21,6.88,58.35,mothbeans
15.36,37.98,17.99,28.28,57.08,6.77,54.66,mothbeans
21.64,48.66,23.41,28.29,55.04,7.25,56.62,mothbeans
24.21,39.15,21.68,28.03,55.56,6.97,51.82,mothbeans
23.90,35.30,24.02,28.08,59.23,6.63,59.48,mothbeans
18.38,42.75,23.97,29.32,50.87,7.41,55.06,mothbeans
23.76,35.51,15.70,28.77,59.81,7.04,59.28,mothbeans
16.13,41.82,22.15,28.30,57.31,7.46,54.51,mothbeans
17.04,49.93,15.93,28.17,58.46,6.81,51.43,mothbeans
17.48,48.42,22.23,28.97,54.13,7.01,59.12,mothbeans
23.93,49.06,24.27,29.87,50.77,6.83,54.82,mothbeans
18.21,42.80,15.40,29.92,58.45,7.30,56.03,mothbeans
22.64,38.69,24.67,29.01,57.31,7.35,50.33,mothbeans
18.89,40.83,15.73,28.77,57.11,7.20,51.93,mothbeans
16.59,46.47,18.06,29.87,58.56,6.64,52.39,mothbeans
18.31,46.40,18.30,28.18,55.90,6.61,56.92,mothbeans
18.17,43.38,15.69,28.02,55.24,6.58,56.07,mothbeans
22.90,38.73,16.70,29.23,54.23,7.17,55.98,mothbeans
17.09,43.80,22.00,28.61,56.12,7.12,51.94,mothbeans
23.58,46.54,21.79,28.90,58.49,7.12,58.91,mothbeans
15.52,42.56,19.03,28.14,57.81,6.51,55.31,mothbeans
17.26,43.77,22.42,28.88,57.22,6.51,55.44,mothbeans
17.17,38.96,16.48,29.97,57.78,6.56,52.61,mothbeans
23.93,37.99,24.89,28.26,52.38,7.27,57.11,mothbeans
20.81,39.13,23.28,28.69,59.10,6.89,54.24,mothbeans
16.12,39.80,16.96,28.36,55.42,7.21,52.29,mothbeans
24.97,47.23,24.26,29.16,52.52,7.28,58.40,mothbeans
22.76,37.16,19.17,28.63,50.83,6.72,51.59,mothbeans
20.69,45.92,22.51,28.46,51.70,6.51,56.82,mothbeans
20.31,36.84,16.95,28.00,54.59,6.97,50.59,mothbeans
15.81,35.36,20.51,28.21,53.90,6.76,52.94,mothbeans
20.22,35.96,20.42,28.64,58.65,7.13,56.46,mothbeans
21.92,41.74,24.69,29.09,50.65,6.57,53.20,mothbeans
15.88,40.72,23.66,29.11,58.97,6.87,58.30,mothbeans
15.74,49.39,23.20,27.92,89.21,6.55,46.14,mungbean
20.24,48.63,19.13,27.33,89.02,7.22,46.91,mungbean
19.06,47.07,19.74,27.20,93.94,6.84,47.29,mungbean
21.53,38.89,19.01,28.39,88.18,6.65,46.62,mungbean
15.02,37.16,22.49,27.40,93.35,7.06,51.98,mungbean
15.25,41.67,17.08,27.76,93.93,6.61,54.11,mungbean
22.47,46.72,23.17,28.02,87.12,7.08,49.79,mungbean
16.33,45.87,22.37,27.86,93.38,7.02,47.37,mungbean
20.13,45.01,22.37,28.79,89.40,6.58,51.39,mungbean
17.05,41.22,19.14,27.94,88.77,7.30,49.63,mungbean
18.02,48.16,23.90,28.52,90.23,7.32,51.68,mungbean
20.02,44.05,18.44,28.56,90.62,7.49,48.65,mungbean
23.79,49.25,20.38,28.30,92.79,7.42,54.16,mungbean
18.80,35.28,23.46,28.30,87.22,7.02,50.81,mungbean
17.54,43.28,21.64,27.90,92.16,6.53,54.08,mungbean
16.47,37.70,22.32,28.99,94.05,6.78,50.98,mungbean
21.09,47.73,20.86,27.75,93.31,6.86,49.77,mungbean
17.01,49.02,23.63,27.10,86.93,6.70,53.58,mungbean
17.38,42.48,15.08,28.36,92.50,6.77,50.45,mungbean
20.33,38.90,16.23,27.51,91.92,6.51,51.03,mungbean
16.31,37.00,17.37,28.25,93.29,6.96,51.80,mungbean
22.30,35.22,17.45,28.45,91.54,7.12,45.67,mungbean
15.28,42.23,20.64,28.42,86.84,7.17,50.36,mungbean
24.01,47.80,17.50,27.70,89.95,7.21,45.38,mungbean
24.30,49.41,19.56,28.48,85.02,7.19,48.52,mungbean
19.97,41.03,21.11,27.17,92.72,7.10,49.89,mungbean
18.13,45.89,23.79,28.34,87.66,6.99,45.03,mungbean
16.36,39.41,16.94,27.62,93.85,6.95,47.96,mungbean
20.85,48.14,17.70,27.61,93.13,7.43,54.31,mungbean
15.07,45.05,20.72,28.70,91.67,7.04,50.94,mungbean
15.41,39.28,18.03,28.22,89.90,7.29,47.17,mungbean
18.99,48.51,19.09,29.00,91.61,7.23,52.40,mungbean
17.02,47.88,15.77,27.40,91.45,6.74,46.56,mungbean
20.31,39.04,16.89,27.12,86.76,6.77,52.41,mungbean
16.05,36.35,22.63,27.84,87.83,6.98,48.25,mungbean
18.77,35.47,18.06,27.10,93.82,6.78,51.50,mungbean
19.53,42.25,17.58,28.43,91.26,7.00,53.07,mungbean
23.88,48.64,15.47,27.11,87.23,7.15,49.36,mungbean
21.16,47.19,18.76,28.44,91.47,6.87,52.18,mungbean
15.40,41.05,16.90,27.47,89.91,7.17,51.07,mungbean
21.30,37.14,22.71,28.61,93.88,7.45,50.90,mungbean
22.07,36.40,17.49,28.79,86.22,6.99,45.43,mungbean
16.48,39.51,19.06,28.97,85.41,6.89,46.50,mungbean
21.35,36.67,18.47,28.27,89.66,6.83,47.37,mungbean
17.82,44.76,22.15,27.59,87.47,7.43,54.08,mungbean
24.12,48.71,23.91,28.91,92.48,6.66,51.31,mungbean
17.94,37.01,17.72,27.28,90.59,7.11,47.18,mungbean
18.88,39.06,16.28,28.27,91.33,7.46,51.81,mungbean
24.17,37.70,16.54,27.54,92.82,6.76,47.38,mungbean
24.11,46.69,15.88,27.98,88.39,6.68,54.79,mungbean
19.82,38.98,17.55,27.85,88.37,7.36,53.62,mungbean
21.02,42.69,20.36,27.50,90.69,7.37,50.19,mungbean
20.96,44.51,23.23,28.82,93.46,7.47,45.82,mungbean
16.89,35.68,21.54,27.67,88.82,6.75,49.05,mungbean
22.57,36.87,18.62,28.96,85.09,6.60,52.33,mungbean
16.07,40.07,16.92,28.79,91.36,7.46,52.20,mungbean
18.16,46.80,24.11,28.96,85.06,6.89,48.33,mungbean
15.82,41.18,16.53,28.47,94.59,6.65,52.39,mungbean
15.98,43.60,16.36,28.34,89.09,7.20,50.53,mungbean
20.99,44.84,24.02,28.87,92.05,6.58,47.60,mungbean
20.43,44.59,22.33,27.96,89.00,6.96,53.25,mungbean
21.50,47.14,20.85,28.16,88.09,6.64,46.51,mungbean
20.34,39.74,21.97,27.60,87.90,7.02,45.81,mungbean
20.20,41.14,20.13,28.55,87.92,6.53,47.87,mungbean
18.54,39.80,21.86,28.44,92.96,6.55,48.42,mungbean
19.22,39.01,20.00,28.84,91.39,6.70,45.27,mungbean
24.37,36.33,19.90,27.49,89.68,6.92,46.50,mungbean
15.40,42.97,23.99,28.21,91.38,7.27,52.22,mungbean
23.63,42.24,17.02,28.85,87.54,7.30,45.80,mungbean
17.08,44.03,15.09,27.77,89.39,6.70,45.15,mungbean
18.41,49.45,20.75,28.38,92.36,6.66,51.72,mungbean
17.67,39.04,16.54,27.29,87.99,7.11,49.31,mungbean
17.62,41.27,20.71,28.54,86.29,6.54,53.26,mungbean
16.04,46.22,22.84,27.30,92.00,6.93,45.12,mungbean
17.19,35.86,18.31,27.71,85.86,6.94,54.01,mungbean
20.86,49.08,21.05,28.49,92.39,6.61,50.00,mungbean
24.86,49.14,23.65,27.07,86.30,6.89,53.20,mungbean
20.87,49.82,21.15,28.14,86.09,7.25,54.30,mungbean
20.57,40.36,20.38,28.49,93.58,6.72,54.80,mungbean
21.06,41.63,23.84,27.36,91.01,7.01,48.29,mungbean
20.09,37.06,16.21,27.13,94.17,7.15,45.42,mungbean
19.05,43.93,20.01,28.44,87.51,6.97,51.46,mungbean
23.88,40.39,22.87,27.66,93.91,7.17,49.57,mungbean
24.44,41.40,16.79,28.77,94.76,6.91,47.81,mungbean
23.68,42.25,21.96,28.89,87.62,7.23,47.21,mungbean
21.93,44.87,15.58,28.55,89.50,6.51,54.91,mungbean
16.93,41.65,23.92,28.23,88.03,7.22,50.94,mungbean
24.47,37.43,19.34,27.55,89.09,7.01,54.55,mungbean
19.08,40.63,20.48,28.24,86.03,7.17,47.04,mungbean
21.90,35.51,16.60,28.22,94.19,6.70,47.84,mungbean
22.99,35.81,16.64,27.21,90.92,7.47,51.96,mungbean
23.68,49.93,19.43,27.87,94.11,6.84,45.61,mungbean
19.68,46.91,16.76,27.79,87.05,7.21,50.81,mungbean
20.25,41.62,19.18,27.38,94.90,7.23,51.92,mungbean
15.69,42.13,16.98,28.29,89.83,7.02,53.70,mungbean
20.38,37.20,18.56,28.55,91.01,7.12,45.79,mungbean
23.56,42.66,16.79,28.09,89.51,6.66,53.66,mungbean
15.15,39.17,17.66,28.50,86.65,6.83,52.65,mungbean
22.53,44.82,21.92,28.57,89.44,6.77,45.24,mungbean
23.99,48.94,23.01,28.01,85.74,6.97,52.76,mungbean
40.61,64.86,23.63,30.27,60.59,7.97,65.47,blackgram
38.08,58.28,18.07,31.31,69.76,7.98,74.94,blackgram
35.51,63.96,18.59,29.80,62.65,7.39,71.62,blackgram
45.45,55.29,17.85,29.46,64.93,7.98,73.71,blackgram
36.14,55.28,21.22,29.24,69.32,7.11,68.46,blackgram
40.17,60.06,20.81,30.71,66.44,7.62,74.31,blackgram
44.09,67.22,21.30,29.22,67.35,7.43,71.95,blackgram
37.30,59.33,22.52,29.79,64.84,7.99,71.08,blackgram
41.38,62.54,23.27,29.98,65.46,7.63,68.11,blackgram
38.22,64.39,20.76,29.67,61.70,7.45,70.40,blackgram
49.11,55.89,23.75,29.45,69.83,7.23,73.30,blackgram
49.33,68.83,23.55,29.77,67.00,7.59,70.14,blackgram
39.28,60.15,18.95,31.74,67.03,7.74,74.23,blackgram
41.76,65.05,16.41,30.83,63.63,7.31,66.22,blackgram
46.40,56.56,24.48,29.97,61.93,7.72,73.87,blackgram
38.58,55.95,21.49,31.78,65.76,7.20,70.76,blackgram
38.75,69.43,20.28,30.67,63.14,7.06,74.40,blackgram
47.58,64.73,19.65,31.51,64.36,7.19,66.84,blackgram
47.04,63.60,22.09,31.17,65.45,7.97,67.51,blackgram
45.49,68.56,24.59,31.69,64.33,7.36,74.14,blackgram
39.95,66.49,22.87,30.92,66.19,7.11,67.05,blackgram
46.42,55.11,20.82,31.33,61.63,7.70,69.72,blackgram
47.18,56.21,24.70,29.59,60.23,7.93,73.69,blackgram
41.98,62.12,24.76,31.01,63.65,7.88,69.53,blackgram
37.70,68.23,20.03,29.89,61.99,7.58,67.00,blackgram
36.43,69.81,19.26,30.90,61.70,7.07,72.03,blackgram
48.66,65.65,18.20,29.37,69.83,7.57,68.75,blackgram
36.52,60.23,19.08,30.95,66.92,7.66,68.21,blackgram
36.53,61.50,24.96,29.03,65.46,7.49,73.34,blackgram
35.47,64.84,19.81,31.42,65.17,7.88,65.91,blackgram
42.83,68.97,20.42,29.87,69.94,7.33,73.91,blackgram
35.01,65.35,22.97,29.80,62.80,7.89,67.34,blackgram
36.79,64.92,16.11,29.62,67.51,7.93,70.81,blackgram
36.94,63.00,17.17,29.65,62.66,7.53,74.46,blackgram
44.77,68.52,18.34,29.89,64.29,7.98,67.58,blackgram
38.97,64.75,15.35,29.00,68.48,7.27,70.42,blackgram
42.61,57.54,18.69,29.75,66.81,7.79,65.24,blackgram
37.94,60.84,24.88,29.15,63.61,7.54,67.01,blackgram
45.36,56.06,20.24,29.31,60.67,7.42,65.01,blackgram
42.58,64.48,18.07,30.48,62.14,7.93,65.86,blackgram
49.03,58.84,16.78,29.73,69.66,7.92,67.22,blackgram
46.19,61.64,22.76,30.66,62.15,7.70,68.50,blackgram
41.83,66.19,22.65,30.17,60.42,7.41,72.38,blackgram
36.57,67.53,24.00,31.51,65.20,7.75,67.24,blackgram
40.69,60.57,17.06,29.51,62.38,7.71,71.15,blackgram
47.62,64.07,24.69,31.96,68.28,7.61,74.63,blackgram
40.23,65.99,15.22,29.62,62.67,7.57,68.00,blackgram
48.67,55.20,22.88,29.48,69.16,7.82,69.57,blackgram
48.95,58.36,18.65,30.64,69.99,7.57,67.98,blackgram
36.27,66.29,17.99,30.64,62.61,7.46,69.51,blackgram
38.73,63.34,22.39,30.70,65.16,7.13,68.37,blackgram
35.07,63.82,19.98,29.61,67.64,7.69,74.33,blackgram
46.19,55.59,22.34,31.35,61.89,7.28,70.93,blackgram
45.56,65.09,15.76,29.63,68.68,7.15,71.70,blackgram
44.90,58.89,22.26,29.70,60.14,7.42,69.35,blackgram
37.46,67.95,15.48,29.27,68.16,7.43,71.39,blackgram
46.14,66.02,20.95,30.93,67.55,7.37,66.78,blackgram
49.20,59.08,23.05,29.46,63.75,7.19,73.34,blackgram
35.90,64.12,21.45,30.46,62.18,7.23,69.36,blackgram
40.01,67.44,17.50,31.66,68.15,7.16,65.87,blackgram
43.97,59.58,23.03,29.35,63.18,7.61,73.90,blackgram
35.50,57.67,23.94,31.44,68.23,7.75,66.75,blackgram
41.87,66.98,20.03,29.20,63.47,7.55,69.55,blackgram
38.54,66.04,21.27,29.14,64.75,7.37,74.13,blackgram
39.49,65.24,18.48,30.85,66.14,7.66,73.81,blackgram
40.75,60.13,15.11,31.10,66.13,7.49,66.39,blackgram
36.67,61.55,20.73,31.55,62.49,7.87,66.04,blackgram
45.06,61.04,15.28,29.04,69.71,7.09,71.04,blackgram
49.59,65.22,17.68,31.89,64.87,7.29,65.24,blackgram
36.60,57.78,19.69,30.19,60.38,7.48,65.27,blackgram
45.64,60.87,22.91,30.42,65.24,7.36,70.37,blackgram
39.07,56.89,22.68,29.58,60.21,7.48,70.05,blackgram
38.37,57.70,15.86,30.48,63.95,7.90,71.79,blackgram
48.79,64.54,16.45,31.57,62.98,7.90,74.30,blackgram
45.88,64.56,23.23,30.09,69.70,7.36,68.86,blackgram
49.71,60.43,20.77,30.14,65.10,7.15,73.81,blackgram
39.02,63.13,18.67,31.97,68.36,7.37,67.54,blackgram
36.25,59.28,18.36,31.12,64.75,7.05,73.21,blackgram
45.89,58.02,22.87,30.98,61.98,7.91,71.15,blackgram
40.15,67.55,22.56,30.60,68.44,7.63,72.55,blackgram
46.64,55.00,17.49,29.30,67.56,7.92,73.22,blackgram
37.40,62.65,24.36,30.66,69.96,7.61,67.59,blackgram
36.43,55.50,24.36,30.14,68.59,7.84,70.96,blackgram
38.90,56.61,17.54,29.27,62.36,7.28,65.53,blackgram
39.63,58.67,23.70,30.91,67.04,7.17,70.15,blackgram
48.91,58.33,18.00,31.35,62.96,8.00,71.98,blackgram
49.44,58.53,16.68,29.65,62.55,7.75,73.11,blackgram
44.63,56.00,23.60,29.25,67.51,7.21,73.68,blackgram
43.01,67.36,15.58,29.17,69.82,7.03,66.52,blackgram
37.66,64.09,21.94,29.93,67.71,7.07,74.16,blackgram
43.56,60.90,18.07,31.99,60.31,7.12,69.07,blackgram
39.87,59.68,21.01,29.50,64.92,7.66,73.70,blackgram
45.29,68.81,18.07,29.95,61.05,7.38,67.92,blackgram
43.69,60.38,18.53,29.14,61.95,7.89,73.94,blackgram
48.64,56.73,22.68,31.81,62.71,7.25,66.67,blackgram
48.67,67.18,15.55,30.54,61.97,7.49,74.50,blackgram
37.77,62.48,16.61,31.67,66.50,7.70,72.15,blackgram
41.24,59.25,22.44,31.09,62.87,7.45,66.98,blackgram
48.53,64.25,24.62,30.57,61.84,7.88,74.53,blackgram
39.11,62.97,18.33,30.92,66.09,7.51,65.01,blackgram
24.42,62.18,24.91,22.02,64.08,6.16,45.84,lentil
19.73,62.75,23.55,23.67,67.35,6.16,48.11,lentil
23.39,73.49,19.46,24.52,64.02,6.36,49.72,lentil
33.28,61.83,16.04,22.98,60.87,5.83,48.12,lentil
32.84,73.14,16.33,24.95,63.60,6.22,40.29,lentil
31.83,62.83,24.47,24.42,64.77,5.61,42.52,lentil
19.04,60.34,24.26,22.58,62.95,6.41,45.23,lentil
31.24,72.45,15.10,22.98,67.85,6.22,48.68,lentil
29.12,70.90,24.86,22.58,66.80,5.85,42.30,lentil
21.06,69.61,17.41,22.98,62.94,5.93,43.25,lentil
25.60,67.02,16.33,24.21,65.82,6.06,45.00,lentil
26.62,65.01,18.72,22.64,63.29,6.02,49.92,lentil
29.75,61.95,23.35,24.17,69.16,6.04,44.04,lentil
23.49,63.63,24.04,24.38,61.00,5.97,45.57,lentil
27.55,62.22,19.52,23.06,62.49,6.28,42.67,lentil
19.51,65.36,24.18,24.19,69.28,5.61,45.44,lentil
34.08,61.82,19.93,23.84,67.32,6.01,49.90,lentil
28.69,61.23,21.04,24.87,65.06,6.40,49.64,lentil
28.86,61.37,16.85,22.81,67.03,6.02,45.32,lentil
27.69,60.43,23.86,23.60,66.03,5.83,45.16,lentil
18.44,74.26,21.74,22.66,61.60,6.21,43.67,lentil
23.63,71.13,21.04,24.38,61.52,5.97,48.52,lentil
26.18,69.55,24.43,23.67,61.54,5.67,41.91,lentil
26.37,61.07,18.58,22.30,60.77,6.01,43.79,lentil
25.66,74.73,18.32,23.14,68.72,6.34,43.83,lentil
31.55,74.14,17.74,23.93,68.51,6.42,49.02,lentil
20.06,66.32,19.00,22.74,66.76,6.02,41.27,lentil
32.78,60.34,21.03,22.78,63.97,5.99,46.18,lentil
27.94,63.90,23.27,24.85,65.60,6.18,43.59,lentil
32.94,72.12,15.69,24.83,67.83,6.28,41.84,lentil
22.23,63.60,20.42,24.38,69.09,5.84,43.28,lentil
18.05,74.31,17.80,22.83,60.90,6.24,45.32,lentil
25.57,67.74,24.75,22.82,68.41,6.42,48.25,lentil
26.11,64.21,17.78,23.07,65.15,6.12,41.77,lentil
35.00,67.03,18.41,24.20,61.55,5.54,44.41,lentil
24.37,67.84,20.93,24.51,68.51,5.57,42.01,lentil
34.89,61.53,18.29,23.09,69.21,5.57,42.64,lentil
22.11,70.12,18.46,22.19,60.06,6.22,44.68,lentil
32.16,72.84,24.23,23.17,61.86,5.88,45.21,lentil
29.51,66.80,22.44,23.72,62.16,5.56,44.66,lentil
29.70,61.78,24.76,23.13,66.90,5.88,43.04,lentil
